folder,file,status,problem_type,total_blocked_pct,obstacle_pct,damage_pct
lat phrao(chok chai 4-Liap duan) (fixed),13.789859_100.602788_ShSkwotKS9KKqi2Yge8cJg_30_2024-11.jpg,SAFE,None,1.24,1.24,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.789862_100.602434_j4peAV25xJ_ieIFhOmB7mg_210_2024-11.jpg,SAFE,None,0.0,0.0,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.789906_100.602704_RSwHx_vBM6xb9PhcUa9f1g_30_2024-11.jpg,SAFE,None,0.15,0.15,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.789907_100.602353_D2w5Sy95WR9J59TRQChcpA_210_2024-11.jpg,SAFE,None,1.21,1.21,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.789951_100.602272_ho5aee-EBK8R6BIyt-AOOA_210_2024-11.jpg,SAFE,None,0.85,0.85,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.789951_100.602622_ZRU40v0gxOdGn_SwlZve9A_30_2024-11.jpg,SAFE,None,4.29,4.29,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.789997_100.602190_RZxr_gtlHvn_3KoxAd3sMg_210_2024-11.jpg,SAFE,None,0.0,0.0,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.789997_100.602542_kBp-EUI1zxHM4-aIj3Pj7A_30_2024-11.jpg,SAFE,None,8.96,8.96,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.790042_100.602460_kmye3T8NKAsESrxSw3Bn5g_30_2024-11.jpg,SAFE,None,0.0,0.0,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.790043_100.602108_AsZpvwtUcqTxKusOVrsyxA_210_2024-11.jpg,CRITICAL,SURFACE DAMAGE,41.39,6.64,34.75
lat phrao(chok chai 4-Liap duan) (fixed),13.790089_100.602027_zt8LylnwkczTqUYBz5hb4w_210_2024-11.jpg,SAFE,None,10.73,0.0,10.73
lat phrao(chok chai 4-Liap duan) (fixed),13.790089_100.602380_ym0F2LKcXj7d3rN3Th0dmA_30_2024-11.jpg,SAFE,None,0.0,0.0,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.790134_100.602300__IKJUSYUkL9pmm1BwClahQ_30_2024-11.jpg,SAFE,None,2.89,2.89,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.790135_100.601948_V1ass3N3-tey-vNVA-nHTQ_210_2024-11.jpg,SAFE,None,1.14,1.14,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.790179_100.602220_-u8EwwiSAIKRR0OhaUIUhw_30_2024-11.jpg,SAFE,None,0.0,0.0,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.790182_100.601865_mH9QvQZeobc3adfxFCWCDw_210_2024-11.jpg,SAFE,None,2.0,2.0,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.790224_100.602141_IxQx9A6COlhY-zNus8OO1w_30_2024-11.jpg,SAFE,None,0.0,0.0,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.790226_100.601785_SyWTv-YEiMGZruQDjdnTbg_210_2024-11.jpg,SAFE,None,11.39,2.02,9.37
lat phrao(chok chai 4-Liap duan) (fixed),13.790269_100.602060_72X0CNgekLNXLf9-5Dl8Qg_30_2024-11.jpg,SAFE,None,1.4,1.4,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.790271_100.601704_9NkjMrAOP6YR5eimymWuIg_210_2024-11.jpg,SAFE,None,2.05,2.05,0.0
lat phrao(chok chai 4-Liap duan) (fixed),13.790315_100.601979_joGtr28vo48M-Y6hCPM9mg_30_2024-11.jpg,SAFE,None,2.96,2.96,0.0
